Array;Source Name;Cell_line;ClustGroup
5500994172948120113978_C02.cel;J132_EPC02P9_NUGC-4_Stomach_1298357;NUGC-4;2
5500994173212120213068_C03.cel;J132_EPC03P10_A3-KAW_Blood_910935;A3-KAW;8
5500994157493061613625_C03.cel;J132_EPC03P1_H2818_Lung_1290814;H2818;4
5500994158987071513209_C03.cel;J132_EPC03P2_AM-38_CNS_910933;AM-38;4
5500994172383112813929_C03.cel;J132_EPC03P3_BB30-HNC_H&N_753531;BB30-HNC;1
5500994158987071513202_C03.cel;J132_EPC03P4_KARPAS-231_Blood_1327774;KARPAS-231;8
5500994158987071513207_C03.cel;J132_EPC03P5_MOLT-4_Blood_905958;MOLT-4;7
5500994172383112813928_C03.cel;J132_EPC03P6_SUIT-2_Pancreas_1240219;SUIT-2;2
5500994158987071513201_C03.cel;J132_EPC03P7_RL_Blood_910861;RL;8
5500994172383112813930_C03.cel;J132_EPC03P8_NCI-H211_Lung_1240189;NCI-H211;6
5500994172948120113978_C03.cel;J132_EPC03P9_HCC-366_Lung_1240144;HCC-366;4
5500994173212120213068_C04.cel;J132_EPC04P10_BONNA-12_Blood_906695;BONNA-12;8
5500994157493061613625_C04.cel;J132_EPC04P1_M14_Skin_905975;M14;3
5500994158987071513209_C04.cel;J132_EPC04P2_BE2-M17_Brain_753616;BE2-M17;5
5500994172383112813929_C04.cel;J132_EPC04P3_CL-11_Intestine_1290769;CL-11;2
5500994158987071513202_C04.cel;J132_EPC04P4_KP-3_Pancreas_1298219;KP-3;2
5500994158987071513207_C04.cel;J132_EPC04P5_UACC-893_Breast_909778;UACC-893;6
5500994172383112813928_C04.cel;J132_EPC04P6_SK-NEP-1_Kidney_909730;SK-NEP-1;5
5500994158987071513201_C04.cel;J132_EPC04P7_RT-112_Bladder_909704;RT-112;2
5500994172383112813930_C04.cel;J132_EPC04P8_NCI-H650_Lung:NSCLC_722066;NCI-H650;2
5500994172948120113978_C04.cel;J132_EPC04P9_RWPE-1_Prostate_1331026;RWPE-1;1
5500994173212120213068_C05.cel;J132_EPC05P10_KMOE-2_Blood_907280;KMOE-2;7
5500994157493061613625_C05.cel;J132_EPC05P1_HT-29_Intestin_905939;HT-29;2
5500994158987071513209_C05.cel;J132_EPC05P2_BT-549_Breast_905951;BT-549;4
5500994172383112813929_C05.cel;J132_EPC05P3_D-336MG_CNS_946369;D-336MG;4
5500994158987071513202_C05.cel;J132_EPC05P4_LC-2-ad_Lung_907786;LC-2-ad;2
5500994158987071513207_C05.cel;J132_EPC05P5_WM278_Skin_1240226;WM278;3
5500994172383112813928_C05.cel;J132_EPC05P6_KNS-42_CNS_907282;KNS-42;4
5500994158987071513201_C05.cel;J132_EPC05P7_PA-TU-8988T_Pancreas_1240201;PA-TU-8988T;2
5500994172383112813930_C05.cel;J132_EPC05P8_NCI-H841_Lung_1240192;NCI-H841;5
5500994172948120113978_C05.cel;J132_EPC05P9_ROS-50_Blood_1331025;ROS-50;8
5500994173212120213068_C06.cel;J132_EPC06P10_ECC4_gastrointestinal_tract_(site_indeterminate)_906850;ECC4;6
5500994157493061613625_C06.cel;J132_EPC06P1_AU565_Breast_910704;AU565;2
5500994158987071513209_C06.cel;J132_EPC06P2_CAS-1_CNS_910943;CAS-1;4
5500994172383112813929_C06.cel;J132_EPC06P3_ECC12_Stomach_906849;ECC12;6
5500994158987071513202_C06.cel;J132_EPC06P4_L-363_Blood_924239;L-363;8
