Cell_line;Tissue sub-type;Count;
HD-MY-Z;UNCLASSIFIED;blood;Hodgkin_lymphoma
HD-MY-Z;UNCLASSIFIED;blood;Hodgkin_lymphoma
HDLM-2;UNCLASSIFIED;blood;Hodgkin_lymphoma
HDLM-2;UNCLASSIFIED;blood;Hodgkin_lymphoma
HDQ-P1;BRCA;breast;breast
HDQ-P1;BRCA;breast;breast
HEC-1;UCEC;urogenital_system;endometrium
HEC-1;UCEC;urogenital_system;endometrium
HEL;LAML;blood;acute_myeloid_leukaemia
HEL;LAML;blood;acute_myeloid_leukaemia
HGC-27;STAD;digestive_system;stomach
HGC-27;STAD;digestive_system;stomach
HH;UNCLASSIFIED;blood;T_cell_leukemia
HH;UNCLASSIFIED;blood;T_cell_leukemia
HL-60;LAML;blood;acute_myeloid_leukaemia
HL-60;LAML;blood;acute_myeloid_leukaemia
HLE;LIHC;digestive_system;liver
HLE;LIHC;digestive_system;liver
HMV-II;SKCM;skin;melanoma
HMV-II;SKCM;skin;melanoma
HN;HNSC;aero_digestive_tract;head_and_neck
HO-1-N-1;HNSC;aero_digestive_tract;head_and_neck
HO-1-N-1;HNSC;aero_digestive_tract;head_and_neck
HO-1-u-1;HNSC;aero_digestive_tract;head_and_neck
HO-1-u-1;HNSC;aero_digestive_tract;head_and_neck
HOP-62;LUAD;lung;lung_NSCLC_adenocarcinoma
HOP-62;LUAD;lung;lung_NSCLC_adenocarcinoma
HOP-92;UNCLASSIFIED;lung;lung_NSCLC_large_cell
HOP-92;UNCLASSIFIED;lung;lung_NSCLC_large_cell
HOS;UNCLASSIFIED;bone;osteosarcoma
HOS;UNCLASSIFIED;bone;osteosarcoma
HPAC;PAAD;pancreas;pancreas
HPAC;PAAD;pancreas;pancreas
HPAF-II;PAAD;pancreas;pancreas
HPAF-II;PAAD;pancreas;pancreas
HSC-2;HNSC;aero_digestive_tract;head_and_neck
HSC-2;HNSC;aero_digestive_tract;head_and_neck
HSC-3;HNSC;aero_digestive_tract;head_and_neck
HSC-3;HNSC;aero_digestive_tract;head_and_neck
HSC-39;STAD;digestive_system;stomach
